CategoryV7,remarks_text,subject_content_text,root_category_name,root_category_code,total_no_of_stages,hierarchy_order,category_hierarchy_code
11578,"  As per railway record,  there is no authorized crossing in the said location. It is unsafe for both public and passengers to cross track  unauthorizedly. Because of unauthorized crossings track conditions are disturbed.","Railways, ( Railway Board) >> Miscellaneous

Railway Board/ Zone/ PSU/ PU/ Office : Railway Board - Railway Board
-----------------------
To
The Railway Board
SDAH  ER

Location   Madhyamgram

I  further to informing you that the temporary railway line crossing near Madhyamgram station  BT end.  is in a very bad condition. The stones on the side of the line have been moved far enough to cause great danger to the yrain,common people and train passengers at any time. Please look at the matter.  Although it was said that the place will be fixed but not done!
Thanking you
Yours truly
Bhaskar  Mitra
1.1.2023",Railway,2565,2,"['Railway', 'Miscellaneous']","[2565, 11578]"
2369," Sir/Madam, With reference to Grievance no. XOXBX/X/X0X3X0X0X0X1, It is to inform that the matter has been examined and it is observed that the member has present PF a/c number X-X-X-X-X hence the member is not eligible for withdrawal benefit against previous PF accumulation. Member has to submit online transfer claim Form-13 and get the accumulation transferred to the present PF account number.	AVINASH GANDHI (RPFC I Thane South)","Labour and Employment >> PF Withdrawal >> Others

Name and Address of Establishment : M/S SKECHERS SOUTH ASIA PVT LTD
UAN No. : Not Provided
PF Code/ PF Account No. : X-X-X-X-X
PPO No. : Not Provided
Scheme Certificate Number : Not Provided
PF Office : Regional Office, Thane II
-----------------------
Dear sir madam
My name is RUDRARAM RAJU
My PF number is X-X-X-X-X
My company name is M/S SKECHERS SOUTH ASIA PVT LTD


Sir apply for final settlement but some technical issues I&#39;m not able to apply online so i apply offline final settlement i already send courier pf office kindly check
Sir i request you to Epfo department please settled my pf final settlement
Please find the attachment pdf file",Labour and Employment,2173,3,"['Labour and Employment', 'PF Withdrawal', 'Others']","[2173, 2343, 2369]"
2379," Please submit establishment clarification letter along with revised form number 3A for correction of the said contribution in EPS.	AMIT VASHIST (RPFC I)	
","Labour and Employment >> Pension >> Others

Name and Address of Establishment : KANWAR NARENDER SINGH
UAN No. : X0X5X4X7X7X0
PF Code/ PF Account No. : XUXPXNXXXXXXXXXXXXXXXXXXXX
PPO No. : Not Provided
Scheme Certificate Number : Not Provided
PF Office : Regional Office, Pune
-----------------------
DEAR SIR MAI SHRI HEMANT KUMAR CHAVHAN MAI MS KANWAR NARENDER SINGH SECURITY YAHA 16 JANUARY 2018 SE LEKAR 30 JUNE 2022 TAK 3 SE 4 SAAL KAM KIYA LEKIN SIR MUZE WAHA PERR 02 JANUARY 2019 KO HEE 58 SAAL PURE HUYE HAI FIR  BHI MERA EPS ME XOXTXIXUXIXN HUA HAI BULKI MERA 58 SAAL KE BAAD EPFO RULLES KE NUSAR EPS ME XOXTXIXUXIXN NAHI  HONA CHAHIYE THA ABHI SIR MUZE AAPKE TARAF SE SUGGETION DIJIYE KI MAI WOH MERA 58 SAAL COMPLETED  KE BAAD WALA EPS AMMOUNT KAISE WITHDRWAL KARR SAKTA HU OUR KAISE KYA KARR SAKTA HU MERE ALAWA 4 SE 5 LOGO KA AMMOUNT WAISE HEE FASA HUA HAI SIR PLZ SUGGETION ME MY EPS AMMOUNT WITHDRWAL",Labour and Employment,2173,3,"['Labour and Employment', 'Pension', 'Others']","[2173, 2344, 2379]"
20493," Son is eligible for dependent CSD Smart Card only till attaining the age of 25. Hence, Card will expire after son attains age of 25.","Defence >> Canteen Stores Depot related >> Non entry to dependent/authorized card holder

Name of CSD unit concerned : Chenab brigade
-----------------------
Sir i widow of Late Ramsingh Army no 1495731 want to know that my son is unemployed and he is studying and his age is just know 24 and i want to know from u that if i m applying for grocery dependent card of my son then when my son attains the age of 25+ the grocery dependent card will be renewed or it will be blocked 

Plz sir help me i want to apply for my son grocery dependent card and he&#39;s know 24 so if I am applying for my son&#39;s grocery dependent card know then after attaining the age of 25 or 26 my son&#39;s grocery dependent card will be renewed or not as he is depended. On me and he&#39;s  jobless 

Plz sir furnish me details 


Thanks",Department of Defence,6300,3,"['Department of Defence', 'Canteen Stores Depot related', 'Non entry to dependent/authorized card holder']","[6300, 6304, 20493]"
5270, S.P/kkLR.No.P3//22 Dated 04.01.2023 மனுதாரர் மீது கன்னியாகுமரி காவல்நிலைய குற்ற எண் 25/2020 u/s 67 IT Act&294 IPC&4 0F TNPWH Act படி வழக்கு பதிவு செய்து நடவடிக்கை மேற்கொண்டுள்ளதால் மனுதாரர் உண்மைக்கு புறம்பான சங்கதிகளை குறிப்பிட்டு தொடர்ந்து இது போன்ற புகார் மனுக்களை கொடுத்துவருவதாக தெரிய வருகிறது. எனவே இம்மனுவை கோர்வை செய்ய கேட்டுக்கொள்ளப்படுகிறது,"Justice >> Others
-----------------------
பெரும் மதிப்பிற்குரிய நீதி அரசர்கள் ஐயா,

100 ரூபாய் பத்திரத்தில் 7/3/2020 அன்று என்னை கொடூரமாக தாக்கியதை பார்த்த சங்கிலி கறுப்பர்கள் சாட்சி உறுதி பத்திரம் தந்துள்ளனர் அதனை உரிய நேரத்தில் சமர்பிப்பேன் ஐயா,எதிர் நீச்சல் அடி

இன்று ஏற்றுக்கொடி

இது Sp க்கும் அவனின் பொய்கதைகளுக்கு பின்னாலும் முன்னாலும் முட்டுகொடுப்பவர்களுக்கு

100 ரூபாய் சாட்சி உறுதி பத்திரம் சமர்பணம் .

என்னை புண்டாமவன் என்று பேசிய காவலருக்கு
எல என்னையால புண்டாமவனு கேட்ட ,அதற்கு நான் எல புண்டாமவனே, அப்படி பொதுமக்களிடம் பேசக்கூடாது என்று சொல்லி கொடுத்தேன் ஐயா,

எல நீவ செய்ய வேண்டிய வேலைய நான் செய்றம்ல

என் நெஞ்சில மிதிப்பியால

உனக்கு லஞ்சம் தரலனா ஏறி மிதிப்பியால

என் சாதிய கேவலமா பேசிவியால

you Are public servant 🔥என்றும் கூறினேன் ஐயா!

🔥Police காரணுக்கும் எனக்கும் சண்டை🔥

2019 ல் பிறகு கன்னியாகுமரி Police station உள்ளேயே போய் செப்டம்பர் மாதம் Camera முன்னாடி நின்னு நான்தான் மெசியா என் கடவுச்சீட்டுக்கு ஒரு பைசா லஞ்சம் தரமாட்டேன் கெத்தா ,திமிரா சொன்னவன் உங்கள் இந்திய குடிமகன் மெசியா🔥

🔥மயிர்நீப்பின் உயிர்வாழாக்கவரிமா அந்நார் உயிர்நீப்பர் மானம் வரின்🔥

மயிர் எடுப்பான் Sp நடவடிக்கை..🔥",Department of Justice,5256,2,"['Department of Justice', 'Others']","[5256, 5270]"
1441,"As per the HCI, Wellington, the service sough by the grievant is related to New Zealand government. The grievant had sought legal remedy in New Zealand and court did not accept his  claim. High Commission/ GoI cannot intervene after it is disposed by court in a foreign country. Hence, the matter is being closed from the portal.","External Affairs >> Others
-----------------------
I Danapuneni Sreekanth Rao,paid tution fee to college in New-Zealand in 2009,i paid tution fee but they did not provided any services,i approached Indian embassy who responsible for Indians safety and difficulties in foreign country also not provided anything,iam sending mails to Indian embassy since13 years,in cpgrams portal I sent 7000 grievances to Ministry of External affairs,for my loss Ministry of External affairs,indian embassy,indian Government is responsible,i should get permanent residency from New-Zealand Government and Dollars 913336 NZD equivalent to Indian rupees 5 crores Indian rupees should get from Ministry of External affairs and Indian Government as soon as possible,already 13 years over.please send money to given below Bank ACCOUNT. 


Bank Details: 
ACCOUNT NAME: Sreekanth Rao Danapuneni 

ACCOUNT NO: X2X8X8X9X8X 

IFSC CODE: X-X-X-X-X 

BANK: STATE BANK OF INDIA 

BRANCH:MANTHANI 
STATE. : TELANGANA 
COUNTRY :. INDIA 


Thanks and regards 
--------------------------------------- 
Danapuneni Sreekanth Rao 
+X1X9X3X4X8X0",External Affairs,1221,2,"['External Affairs', 'Others']","[1221, 1441]"
5073, ग्रामीण सड़क राज्य सरकार का विषय है और राज्य में प्रधान मंत्री ग्राम सड़क योजना (पीएमजीएसवाई) को लागू करने के लिए राज्य सरकार नोडल एजेंसी है। आप अपनी GRIEVANCES को सीधा राज्य के साथ साझा कर सकते है । कृपया राज्य द्वारा प्रस्तुत संलग्न क्रत कारवाई रिपोर्ट प्राप्त करें।,"Rural Development >> Pradhan Mantri Gram Sadak Yojana >> Complaints about PMGSY roads >> Request for construction of road under PMGSY

Name of the Road constructed under PMGSY : From G.P Headquarters To Kaladu Via include to all nearly unconnected village of this G.P
-----------------------
Honourable Minister Department of Rural Development, Government of India, New Delhi.
Honourable Secretary, Department of Rural Development, Government of India, New Delhi.
(Grievance-Dear Sir, i Kindly request to you construct a new road under the scheme of Pradhan Mantri Grama Sadak Yojana (PMGSY) From G.P Headquarters To Kaladu Via include to all nearly unconnected village of this G.P, under the Bamprada Gramapanchyat of Barkote Block in Deogarh District. It is a undeveloped hill area cum Maoist affected inter remote area and the communication facility is very poor here so a construction of a new road will be a great step for communication in this area. This projects kindly approve and therefore, I shall be obliged.)",Rural Development,4976,4,"['Rural Development', 'Pradhan Mantri Gram Sadak Yojana', 'Complaints about PMGSY roads', 'Request for construction of road under PMGSY']","[4976, 5068, 5069, 5073]"
60," The reply of 6 numbers of PG cases by Shri Rajesh Kumar Bagarti regarding poor network connectivity and installation of  new RJIO tower under USOF scheme at four villages of Deogarh district, one village of Nayagarh and one village of Koraput district is attached as ANNEXURE. ","Telecommunications >> Suggestions >> Others
-----------------------
Honourable Minister Department of Telecommunications, Government of India.
(Grievance-Dear Sir, I would like to draw your urgent attention that Kaladu village which comes under the Bamprada Gramapanchyat of Barkote Block in Deogarh District of Odisha State. It is an undeveloped hill cum inter remote area and has been cut out from other part of mainstream area of this country since long time. The network connectivity and internet penetration for Telecommunication is very poor and even not working properly. The residents of this village, students and other business personalities are unable to access the internet for their banking and other online services. The students are also unable to attend any online activities due to above mentioned problems. The people are unable to call the ambulance, fire services due to the lack of network problem during emergency time. The facilities of digital India has not reached to these area till now. They have been underprivileged and digitally not connected with rest of the country. 
Therefore, I kindly request you to please install a new Reliance Jio-4G/5G cum BSNL-3G/4G/5G Mobile Tower under the scheme of Universal Service Obligation Fund (USOF) at the particular place of Kaladu village which comes under the Bamprada Gramapanchyat of Barkote Block in Deogarh District of Odisha State. So that these underprivileged people will be connected digitally and can take the advantages of digital services.)",Telecommunications,1,3,"['Telecommunications', 'Suggestions', 'Others']","[1, 9, 60]"
4789,,"Home Affairs >> Award Related/Other National issues >> Others
-----------------------
HAPPY NEW YEAR 2023
SIR I REQUEST THE HONOURABLE MINISTER FOR HOME, GOVERNMENT OF INDIA,NEW DELHI TO SETTLE THE CASE ATTACHED WITH CBODT CENTRAL BOARD OF DIRECT TAXES AND BLESS ME THIS YEAR WITH EMPLOYEMENT",Home Affairs,4742,3,"['Home Affairs', 'Award Related/Other National issues', 'Others']","[4742, 4744, 4789]"
11142, Grievance letter forwarded to Panchayati Raj Department of Odisha,"Panchayati Raj >> Panchayat Development Related  Matter >> Basic facilities in villages >> Odisha
-----------------------
Honourable Principal Secretary, Department of Panchayati Raj, Government of India, New Delhi.
(Grievance-Dear Sir, After 76 years of independent of India, there is no regular availability of Road, Drinking water, Electricity, Health and Education, Telecommunication cum internet facility in Gambharibhuin village of Sado Gramapanchayat which comes under Tileibani Block in Deogarh District. Which is a very sensitive and unfortunate matter and as it is a undeveloped hill cum inter remote area there is no good communication. So, i request you to take steps to avail Regular Road, Drinking Water facility, Education, Health and Telecommunication cum internet facility and Electricity connect to Gambharibhuin village.)",Ministry of Panchayati Raj,10144,4,"['Ministry of Panchayati Raj', 'Panchayat Development Related  Matter', 'Basic facilities in villages', 'Odisha']","[10144, 10703, 10705, 11142]"
